section,group,name,url,description,tags,stars,last_push,line
Automation and Convention,,Ansible Lockdown,https://ansiblelockdown.io/,Curated collection of information security themed Ansible roles that are both vetted and actively maintained.,,,,67
Automation and Convention,,Clevis,https://github.com/latchset/clevis,"Plugable framework for automated decryption, often used as a Tang client.",,1263,2026-07-25,68
Automation and Convention,,DShell,https://github.com/USArmyResearchLab/Dshell,Extensible network forensic analysis framework written in Python that enables rapid development of plugins to support the dissection of network packet captures.,,5494,2024-05-07,69
Automation and Convention,,Dev-Sec.io,https://dev-sec.io/,"Server hardening framework providing Ansible, Chef, and Puppet implementations of various baseline security configurations.",,,,70
Automation and Convention,,Password Manager Resources,https://github.com/apple/password-manager-resources,"Collaborative, crowd-sourced data and code to make password management better.",,4859,2026-09-18,71
Automation and Convention,,peepdf,https://eternal-todo.com/tools/peepdf-pdf-analysis-tool,Scriptable PDF file analyzer.,,,,72
Automation and Convention,,PyREBox,https://talosintelligence.com/pyrebox,"Python-scriptable reverse engineering sandbox, based on QEMU.",,,,73
Automation and Convention,,Watchtower,https://containrrr.dev/watchtower/,"Container-based solution for automating Docker container base image updates, providing an unattended upgrade experience.",,,,74
Automation and Convention,,MultiScanner,https://github.com/mitre/multiscanner,File analysis framework written in Python that assists in evaluating a set of files by automatically running a suite of tools against them and aggregating the output.,,621,2019-10-08,78
Automation and Convention,,Posh-VirusTotal,https://github.com/darkoperator/Posh-VirusTotal,PowerShell interface to VirusTotal.com APIs.,,124,2020-01-16,79
Automation and Convention,,censys-python,https://github.com/censys/censys-python,Python wrapper to the Censys REST API.,,469,2026-08-28,80
Automation and Convention,,libcrafter,https://github.com/pellegre/libcrafter,High level C++ network packet sniffing and crafting library.,,312,2026-09-20,81
Automation and Convention,,python-dshield,https://github.com/rshipp/python-dshield,Pythonic interface to the Internet Storm Center/DShield API.,,28,2023-05-23,82
Automation and Convention,,python-sandboxapi,https://github.com/InQuest/python-sandboxapi,"Minimal, consistent Python API for building integrations with malware sandboxes.",,143,2024-01-31,83
Automation and Convention,,python-stix2,https://github.com/oasis-open/cti-python-stix2,"Python APIs for serializing and de-serializing Structured Threat Information eXpression (STIX) JSON content, plus higher-level APIs for common tasks.",,439,2026-02-12,84
Automation and Convention,,Shuffle,https://shuffler.io/,Graphical generalized workflow (automation) builder for IT professionals and blue teamers.,,,,90
Cloud platform security,,Aaia,https://github.com/rams3sh/Aaia,Helps in visualizing AWS IAM and Organizations in a graph format with help of Neo4j.,,297,2026-01-23,96
Cloud platform security,,Falco,https://falco.org/,"Behavioral activity monitor designed to detect anomalous activity in containerized applications, hosts, and network packet flows by auditing the Linux kernel and enriched by runtime data such as Kubernetes metrics.",,,,97
Cloud platform security,,Kata Containers,https://katacontainers.io/,"Secure container runtime with lightweight virtual machines that feel and perform like containers, but provide stronger workload isolation using hardware virtualization technology as a second layer of defense.",,,,98
Cloud platform security,,Principal Mapper (PMapper),https://github.com/nccgroup/PMapper,Quickly evaluate IAM permissions in AWS via script and library capable of identifying risks in the configuration of AWS Identity and Access Management (IAM) for an AWS account or an AWS organization.,,1580,2024-08-02,99
Cloud platform security,,Prowler,https://github.com/toniblyx/prowler,Tool based on AWS-CLI commands for Amazon Web Services account security assessment and hardening.,,14854,2026-09-23,100
Cloud platform security,,Scout Suite,https://github.com/nccgroup/ScoutSuite,"source multi-cloud security-auditing tool, which enables security posture assessment of cloud environments.",Open,7824,2025-09-23,101
Cloud platform security,,gVisor,https://github.com/google/gvisor,"Application kernel, written in Go, that implements a substantial portion of the Linux system surface to provide an isolation boundary between the application and the host kernel.",,19398,2026-09-23,102
Cloud platform security,,Cortex,https://cortexmetrics.io/,"Provides horizontally scalable, highly available, multi-tenant, long term storage for Prometheus.",,,,108
Cloud platform security,,Jaeger,https://www.jaegertracing.io/,Distributed tracing platform backend used for monitoring and troubleshooting microservices-based distributed systems.,,,,109
Cloud platform security,,OpenTelemetry,https://opentelemetry.io/,"Observability framework for cloud-native software, comprising a collection of tools, APIs, and SDKs for exporting application performance metrics to a tracing backend (formerly maintained by the OpenTracing and OpenCensus projects).",,,,110
Cloud platform security,,Prometheus,https://prometheus.io/,source systems monitoring and alerting toolkit originally built at SoundCloud.,Open,,,111
Cloud platform security,,Zipkin,https://zipkin.io/,Distributed tracing system backend that helps gather timing data needed to troubleshoot latency problems in service architectures.,,,,112
Cloud platform security,,KubeSec,https://kubesec.io/,"Static analyzer of Kubernetes manifests that can be run locally, as a Kuberenetes admission controller, or as its own cloud service.",,,,118
Cloud platform security,,Kyverno,https://kyverno.io/,Policy engine designed for Kubernetes.,,,,119
Cloud platform security,,Linkerd,https://linkerd.io/,"Ultra light Kubernetes-specific service mesh that adds observability, reliability, and security to Kubernetes applications without requiring any modification of the application itself.",,,,120
